id,role_id,skill_id,required_level,is_mandatory,notes
1,1,93,Intermediate,True,
2,1,70,Advanced,True,
3,1,90,Expert,True,
4,1,58,Expert,True,
5,2,74,Intermediate,True,
6,2,172,Expert,True,
7,2,73,Intermediate,False,
8,2,2,Intermediate,False,
9,3,123,Expert,True,
10,3,51,Advanced,True,
11,3,12,Intermediate,False,
12,3,113,Intermediate,True,
13,3,163,Intermediate,True,
14,4,189,Intermediate,True,
15,4,141,Expert,True,
16,4,172,Intermediate,True,
17,4,138,Expert,True,
18,4,12,Expert,True,
19,4,18,Expert,True,
20,5,54,Intermediate,True,
21,5,126,Expert,True,
22,5,48,Intermediate,True,
23,5,184,Expert,True,
24,6,51,Expert,True,
25,6,128,Expert,False,
26,6,81,Advanced,True,
27,6,138,Advanced,True,
28,7,87,Advanced,True,
29,7,94,Advanced,False,
30,7,105,Intermediate,True,
31,7,139,Advanced,True,
32,7,33,Intermediate,True,
33,8,51,Intermediate,False,
34,8,113,Expert,True,
35,8,3,Advanced,False,
36,8,94,Expert,False,
37,9,171,Advanced,True,
38,9,1,Expert,True,
39,9,106,Expert,False,
40,9,135,Expert,True,
41,9,84,Expert,False,
42,9,97,Intermediate,False,
43,10,167,Expert,True,
44,10,9,Advanced,True,
45,10,128,Expert,True,
46,10,21,Intermediate,False,
47,11,97,Intermediate,True,
48,11,172,Intermediate,True,
49,11,196,Advanced,True,
50,11,80,Intermediate,True,
51,11,148,Intermediate,True,
52,11,123,Advanced,False,
53,12,12,Intermediate,False,
54,12,5,Expert,True,
55,12,70,Advanced,True,
56,12,164,Advanced,True,
57,13,11,Advanced,True,
58,13,19,Advanced,True,
59,13,175,Intermediate,True,
60,13,3,Expert,False,
61,13,45,Intermediate,True,
62,13,106,Advanced,True,
63,14,45,Intermediate,True,
64,14,18,Advanced,True,
65,14,124,Expert,True,
66,14,19,Advanced,True,
67,15,48,Advanced,False,
68,15,125,Advanced,True,
69,15,116,Intermediate,True,
70,15,81,Expert,False,
71,15,87,Expert,True,
72,16,3,Advanced,False,
73,16,200,Expert,True,
74,16,87,Intermediate,True,
75,16,74,Expert,True,
76,17,192,Intermediate,True,
77,17,27,Advanced,True,
78,17,6,Expert,False,
79,17,196,Expert,True,
80,17,111,Expert,True,
81,17,58,Advanced,False,
82,18,169,Advanced,True,
83,18,4,Expert,True,
84,18,48,Expert,False,
85,18,93,Intermediate,True,
86,19,113,Advanced,True,
87,19,79,Expert,False,
88,19,19,Expert,True,
89,19,39,Advanced,True,
90,19,100,Intermediate,False,
91,19,162,Advanced,False,
92,20,3,Intermediate,True,
93,20,44,Expert,False,
94,20,157,Intermediate,True,
95,20,175,Advanced,True,
96,20,84,Expert,False,
97,21,192,Expert,True,
98,21,176,Advanced,True,
99,21,97,Advanced,True,
100,21,57,Intermediate,True,
101,22,8,Intermediate,True,
102,22,54,Advanced,True,
103,22,135,Expert,True,
104,22,55,Intermediate,False,
105,22,3,Expert,False,
106,22,170,Intermediate,True,
107,23,34,Intermediate,True,
108,23,169,Advanced,False,
109,23,135,Advanced,True,
110,23,8,Advanced,True,
111,23,172,Expert,True,
112,23,105,Intermediate,True,
113,24,70,Intermediate,True,
114,24,169,Intermediate,False,
115,24,57,Expert,True,
116,24,157,Advanced,True,
117,25,79,Expert,True,
118,25,194,Advanced,True,
119,25,113,Intermediate,True,
120,25,175,Advanced,True,
121,25,46,Advanced,False,
122,25,80,Intermediate,True,
123,26,116,Intermediate,True,
124,26,123,Intermediate,True,
125,26,109,Expert,False,
126,26,4,Advanced,False,
127,26,81,Advanced,False,
128,27,71,Advanced,True,
129,27,170,Expert,False,
130,27,121,Advanced,True,
131,27,3,Expert,True,
132,27,39,Advanced,True,
133,28,109,Expert,True,
134,28,58,Expert,True,
135,28,70,Intermediate,True,
136,28,19,Expert,True,
137,28,163,Expert,True,
138,29,2,Advanced,True,
139,29,192,Intermediate,True,
140,29,55,Intermediate,False,
141,29,121,Intermediate,True,
142,29,194,Intermediate,True,
143,29,83,Advanced,True,
144,30,7,Expert,True,
145,30,18,Advanced,True,
146,30,83,Intermediate,True,
147,30,171,Intermediate,True,
148,31,83,Expert,True,
149,31,141,Advanced,True,
150,31,170,Intermediate,False,
151,31,164,Expert,True,
152,31,154,Advanced,True,
153,31,114,Intermediate,True,
154,32,162,Expert,True,
155,32,9,Intermediate,True,
156,32,81,Advanced,True,
157,32,39,Expert,True,
158,32,55,Intermediate,False,
159,32,163,Expert,True,
160,33,18,Expert,True,
161,33,113,Intermediate,True,
162,33,195,Expert,True,
163,33,114,Expert,True,
164,34,39,Advanced,True,
165,34,57,Expert,True,
166,34,6,Expert,True,
167,34,129,Intermediate,True,
168,34,54,Expert,True,
169,34,12,Intermediate,True,
170,35,192,Intermediate,True,
171,35,56,Advanced,True,
172,35,73,Advanced,True,
173,35,18,Expert,True,
174,35,116,Advanced,True,
175,35,171,Intermediate,True,
176,36,97,Expert,True,
177,36,73,Advanced,True,
178,36,54,Intermediate,False,
179,36,94,Advanced,False,
180,36,134,Expert,True,
181,37,106,Expert,True,
182,37,171,Expert,True,
183,37,39,Advanced,True,
184,37,139,Expert,True,
185,38,129,Expert,True,
186,38,157,Intermediate,True,
187,38,130,Expert,True,
188,38,55,Expert,True,
189,38,154,Advanced,True,
190,38,123,Intermediate,False,
191,39,4,Expert,True,
192,39,156,Advanced,False,
193,39,128,Advanced,True,
194,39,51,Expert,True,
195,39,1,Advanced,False,
196,40,123,Advanced,True,
197,40,114,Expert,True,
198,40,106,Advanced,False,
199,40,176,Expert,True,
200,40,70,Advanced,True,
201,40,139,Intermediate,True,
202,41,176,Advanced,True,
203,41,114,Intermediate,True,
204,41,100,Expert,False,
205,41,194,Intermediate,True,
206,42,56,Advanced,True,
207,42,100,Advanced,False,
208,42,105,Expert,True,
209,42,162,Expert,True,
210,43,192,Advanced,True,
211,43,113,Expert,True,
212,43,157,Expert,True,
213,43,25,Intermediate,False,
214,44,178,Expert,False,
215,44,186,Expert,True,
216,44,20,Expert,True,
217,44,148,Advanced,True,
218,45,173,Intermediate,False,
219,45,159,Advanced,False,
220,45,37,Expert,False,
221,45,57,Expert,True,
222,45,56,Expert,True,
223,45,145,Expert,False,
224,46,27,Advanced,True,
225,46,127,Intermediate,False,
226,46,135,Intermediate,True,
227,46,85,Advanced,True,
228,46,104,Intermediate,True,
229,46,25,Advanced,True,
230,47,61,Expert,False,
231,47,39,Expert,True,
232,47,62,Expert,False,
233,47,116,Intermediate,True,
234,47,98,Intermediate,True,
235,48,25,Advanced,True,
236,48,173,Advanced,True,
237,48,61,Expert,True,
238,48,98,Advanced,False,
239,48,113,Advanced,True,
240,48,18,Advanced,True,
241,49,111,Intermediate,True,
242,49,155,Intermediate,True,
243,49,173,Expert,False,
244,49,8,Intermediate,True,
245,49,196,Intermediate,True,
246,50,125,Intermediate,True,
247,50,110,Expert,True,
248,50,111,Expert,True,
249,50,33,Advanced,True,
250,51,125,Expert,True,
251,51,183,Expert,True,
252,51,77,Expert,True,
253,51,194,Expert,True,
254,52,157,Expert,True,
255,52,139,Expert,True,
256,52,16,Intermediate,True,
257,52,171,Advanced,True,
258,52,130,Advanced,True,
259,52,160,Advanced,True,
260,53,35,Intermediate,False,
261,53,56,Expert,True,
262,53,139,Advanced,True,
263,53,176,Advanced,True,
264,54,90,Expert,True,
265,54,77,Intermediate,True,
266,54,52,Intermediate,True,
267,54,126,Intermediate,True,
268,55,142,Expert,False,
269,55,143,Intermediate,True,
270,55,164,Intermediate,True,
271,55,200,Expert,True,
272,55,135,Intermediate,True,
273,55,172,Intermediate,True,
274,56,176,Intermediate,True,
275,56,131,Intermediate,False,
276,56,164,Advanced,True,
277,56,120,Expert,False,
278,56,126,Expert,True,
279,57,99,Intermediate,True,
280,57,122,Intermediate,False,
281,57,193,Intermediate,True,
282,57,36,Advanced,False,
283,57,135,Expert,True,
284,57,14,Advanced,False,
285,58,8,Advanced,True,
286,58,70,Advanced,True,
287,58,196,Intermediate,True,
288,58,133,Intermediate,False,
289,58,194,Intermediate,True,
290,58,13,Expert,True,
291,59,13,Expert,True,
292,59,122,Advanced,True,
293,59,52,Advanced,True,
294,59,31,Intermediate,False,
295,59,195,Intermediate,True,
296,59,72,Advanced,True,
297,60,195,Intermediate,True,
298,60,28,Intermediate,True,
299,60,110,Expert,True,
300,60,126,Expert,True,
301,61,142,Expert,False,
302,61,140,Intermediate,False,
303,61,33,Intermediate,True,
304,61,56,Advanced,True,
305,62,34,Expert,True,
