id,employee_id,review_cycle,rating,score,strengths,improvement_areas,manager_comments,reviewer_name,review_date,is_final
1,1,FY2025-26,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Vijay Choudhury,2025-09-15T05:04:38.187939,True
2,1,FY2021-22,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Rohan Chatterjee,2025-12-08T05:04:38.187974,True
3,2,FY2022-23,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Suresh Reddy,2025-12-11T05:04:38.187994,True
4,2,FY2024-25,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Tanvi Bose,2024-12-30T05:04:38.188006,True
5,2,FY2023-24,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Rajesh Gupta,2025-04-17T05:04:38.188021,True
6,3,FY2024-25,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Hemant Joshi,2025-09-30T05:04:38.188034,True
7,3,FY2022-23,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Manish Joshi,2025-02-09T05:04:38.188044,True
8,4,FY2022-23,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Suresh Roy,2024-10-01T05:04:38.188056,True
9,4,FY2021-22,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Aditya Dutta,2026-01-12T05:04:38.188066,True
10,5,FY2021-22,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Deepa Chatterjee,2026-01-30T05:04:38.188078,True
11,5,FY2022-23,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Madhav Ghosh,2025-07-02T05:04:38.188088,True
12,5,FY2023-24,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Nikhil Roy,2026-05-22T05:04:38.188097,True
13,6,FY2022-23,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Chandan Ghosh,2026-01-02T05:04:38.188108,True
14,6,FY2024-25,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Yash Joshi,2025-06-29T05:04:38.188118,True
15,6,FY2023-24,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Tanvi Mitra,2025-08-25T05:04:38.188127,True
16,7,FY2022-23,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Ananya Singh,2025-03-13T05:04:38.188141,True
17,7,FY2025-26,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Rahul Singh,2025-02-26T05:04:38.188151,True
18,7,FY2021-22,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Aniket Prasad,2025-02-18T05:04:38.188160,True
19,8,FY2023-24,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Meera Sharma,2025-12-07T05:04:38.188173,True
20,8,FY2021-22,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Vikram Tripathi,2024-11-18T05:04:38.188183,True
21,8,FY2022-23,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Tanvi Mukherjee,2025-07-25T05:04:38.188192,True
22,9,FY2022-23,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Neha Chatterjee,2026-06-15T05:04:38.188203,True
23,9,FY2021-22,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Alok Choudhury,2024-09-28T05:04:38.188212,True
24,10,FY2022-23,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Pooja Mehta,2025-01-22T05:04:38.188224,True
25,10,FY2024-25,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Pooja Gupta,2026-03-29T05:04:38.188235,True
