id,employee_id,skill_id,level,years_experience,is_certified,certification_name,last_assessed,notes
1,1,1,Advanced,3.5,True,Tata Steel Core Safety Certification,2026-04-22T05:04:38.078806,Verified through department annual appraisal.
2,1,3,Advanced,3.5,True,Tata Steel Core Safety Certification,2026-05-09T05:04:38.079110,Verified through department annual appraisal.
3,1,4,Intermediate,3.5,True,Tata Steel Core Safety Certification,2026-05-26T05:04:38.079163,Verified through department annual appraisal.
4,1,5,Intermediate,3.5,True,Tata Steel Core Safety Certification,2026-03-15T05:04:38.079196,Verified through department annual appraisal.
5,1,6,Intermediate,3.5,True,Tata Steel Core Safety Certification,2026-06-04T05:04:38.079225,Verified through department annual appraisal.
6,1,8,Advanced,3.5,True,Tata Steel Core Safety Certification,2026-04-28T05:04:38.079254,Verified through department annual appraisal.
7,1,19,Intermediate,1.5,False,,2025-11-15T05:04:38.079430,
8,1,175,Beginner,6.5,False,Internal Training Course Certification,2026-06-30T05:04:38.079465,
9,1,159,Intermediate,5.2,False,,2026-07-09T05:04:38.079496,
10,1,87,Beginner,6.8,False,,2026-06-06T05:04:38.079517,
11,1,177,Beginner,3.1,True,Internal Training Course Certification,2026-04-02T05:04:38.079539,
12,2,195,Intermediate,6.4,True,Internal Training Course Certification,2025-08-17T05:04:38.079614,
13,2,55,Expert,6.3,True,,2026-05-11T05:04:38.079632,
14,2,61,Intermediate,3.4,True,,2026-02-07T05:04:38.079649,
15,2,194,Intermediate,6.5,False,,2026-06-07T05:04:38.079666,
16,2,124,Intermediate,1.9,True,Internal Training Course Certification,2025-09-25T05:04:38.079682,
17,2,39,Expert,7.2,True,,2025-11-02T05:04:38.079698,
18,2,2,Beginner,1.0,True,Internal Training Course Certification,2026-05-14T05:04:38.079716,
19,3,143,Advanced,5.9,True,,2025-09-29T05:04:38.079777,
20,3,110,Intermediate,4.2,False,,2026-07-07T05:04:38.079794,
21,3,105,Expert,0.8,False,Internal Training Course Certification,2026-01-07T05:04:38.079811,
22,3,25,Beginner,4.7,False,Internal Training Course Certification,2025-12-03T05:04:38.079827,
23,3,125,Intermediate,1.5,False,Internal Training Course Certification,2026-01-15T05:04:38.079844,
24,4,177,Advanced,2.1,False,Internal Training Course Certification,2026-07-11T05:04:38.079910,
25,4,114,Expert,7.3,False,,2026-06-08T05:04:38.079927,
26,4,124,Advanced,6.4,False,Internal Training Course Certification,2026-03-30T05:04:38.079943,
27,4,57,Beginner,2.3,True,,2026-05-29T05:04:38.079960,
28,4,69,Advanced,3.6,False,,2025-12-23T05:04:38.079976,
29,4,134,Intermediate,1.7,True,,2025-09-21T05:04:38.079997,
30,4,117,Advanced,5.4,False,,2025-09-03T05:04:38.080013,
31,4,178,Intermediate,2.1,False,Internal Training Course Certification,2025-11-02T05:04:38.080029,
32,5,157,Intermediate,1.0,False,Internal Training Course Certification,2026-05-23T05:04:38.080094,
33,5,173,Expert,7.5,False,,2025-12-16T05:04:38.080112,
34,5,116,Beginner,1.1,False,,2026-01-27T05:04:38.080128,
35,5,110,Beginner,6.7,True,Internal Training Course Certification,2026-06-23T05:04:38.080221,
36,5,200,Advanced,3.0,False,,2025-10-01T05:04:38.080279,
37,5,143,Expert,1.2,True,Internal Training Course Certification,2026-02-28T05:04:38.080300,
38,5,8,Expert,3.6,False,Internal Training Course Certification,2026-02-12T05:04:38.080315,
39,6,176,Intermediate,6.1,True,,2026-01-21T05:04:38.080383,
40,6,62,Intermediate,2.9,False,,2026-05-19T05:04:38.080397,
