id,employee_id,target_role_id,target_role_name,target_timeline_months,current_progress_pct,status,notes
1,1,7,Engineering Manager,12,27.7,Active,Aligned with annual career development plan.
2,2,6,EAF Mechanical Specialist,24,5.4,Active,Aligned with annual career development plan.
3,3,21,Head - Automation & Control,18,6.9,Active,Aligned with annual career development plan.
4,4,48,Manager - Supply Chain & SCM,24,25.8,Active,Aligned with annual career development plan.
5,5,3,Mechanical Engineer,12,51.3,Active,Aligned with annual career development plan.
6,6,47,Specialist - Supply Chain & SCM,12,24.3,Active,Aligned with annual career development plan.
7,7,39,Senior Engineer - Quality Assurance & Metallurgy,12,58.3,Active,Aligned with annual career development plan.
8,8,68,Specialist - Human Resources & L&D,18,1.4,Active,Aligned with annual career development plan.
9,9,49,Head - Supply Chain & SCM,12,27.9,Active,Aligned with annual career development plan.
10,10,50,Technician - Information Technology,18,44.8,Active,Aligned with annual career development plan.
11,11,47,Specialist - Supply Chain & SCM,12,35.9,Active,Aligned with annual career development plan.
12,12,19,Specialist - Automation & Control,24,26.6,Active,Aligned with annual career development plan.
13,13,47,Specialist - Supply Chain & SCM,24,8.7,Active,Aligned with annual career development plan.
14,14,20,Manager - Automation & Control,18,68.0,Active,Aligned with annual career development plan.
15,15,24,Engineer - Blast Furnace Operations,12,15.1,Active,Aligned with annual career development plan.
16,16,41,Manager - Quality Assurance & Metallurgy,24,4.7,Active,Aligned with annual career development plan.
17,17,27,Manager - Blast Furnace Operations,18,15.1,Active,Aligned with annual career development plan.
18,18,35,Head - Rolling Mill Operations,12,17.1,Active,Aligned with annual career development plan.
19,19,18,Senior Engineer - Automation & Control,24,35.2,Active,Aligned with annual career development plan.
20,20,44,Senior Technician - Supply Chain & SCM,18,41.9,Active,Aligned with annual career development plan.
21,21,21,Head - Automation & Control,18,12.3,Active,Aligned with annual career development plan.
22,22,20,Manager - Automation & Control,12,25.8,Active,Aligned with annual career development plan.
23,23,63,Head - AI & Digital Initiatives,12,20.2,Active,Aligned with annual career development plan.
24,24,56,Head - Information Technology,18,51.5,Active,Aligned with annual career development plan.
25,25,61,Specialist - AI & Digital Initiatives,24,66.9,Active,Aligned with annual career development plan.
26,26,33,Specialist - Rolling Mill Operations,12,43.5,Active,Aligned with annual career development plan.
27,27,67,Senior Engineer - Human Resources & L&D,24,69.2,Active,Aligned with annual career development plan.
28,28,14,Head - Electrical & Electronics,18,44.3,Active,Aligned with annual career development plan.
29,29,32,Senior Engineer - Rolling Mill Operations,24,1.2,Active,Aligned with annual career development plan.
30,30,7,Engineering Manager,12,32.2,Active,Aligned with annual career development plan.
31,31,11,Senior Engineer - Electrical & Electronics,18,27.8,Active,Aligned with annual career development plan.
32,32,35,Head - Rolling Mill Operations,18,69.7,Active,Aligned with annual career development plan.
33,33,70,Head - Human Resources & L&D,24,48.3,Active,Aligned with annual career development plan.
34,34,71,HR Business Partner,12,52.7,Active,Aligned with annual career development plan.
35,35,14,Head - Electrical & Electronics,12,41.9,Active,Aligned with annual career development plan.
36,36,49,Head - Supply Chain & SCM,12,65.4,Active,Aligned with annual career development plan.
37,37,59,Engineer - AI & Digital Initiatives,18,32.7,Active,Aligned with annual career development plan.
38,38,12,Specialist - Electrical & Electronics,12,8.4,Active,Aligned with annual career development plan.
39,39,63,Head - AI & Digital Initiatives,24,1.2,Active,Aligned with annual career development plan.
40,40,14,Head - Electrical & Electronics,18,36.7,Active,Aligned with annual career development plan.
41,41,28,Head - Blast Furnace Operations,24,68.0,Active,Aligned with annual career development plan.
42,42,6,EAF Mechanical Specialist,24,0.8,Active,Aligned with annual career development plan.
43,43,19,Specialist - Automation & Control,12,38.7,Active,Aligned with annual career development plan.
44,44,14,Head - Electrical & Electronics,24,62.0,Active,Aligned with annual career development plan.
45,45,71,HR Business Partner,18,33.3,Active,Aligned with annual career development plan.
46,46,63,Head - AI & Digital Initiatives,18,59.6,Active,Aligned with annual career development plan.
47,47,48,Manager - Supply Chain & SCM,12,6.2,Active,Aligned with annual career development plan.
48,48,1,Technician - Mechanical,12,22.2,Active,Aligned with annual career development plan.
49,49,13,Manager - Electrical & Electronics,18,67.0,Active,Aligned with annual career development plan.
50,50,53,Senior Engineer - Information Technology,24,2.0,Active,Aligned with annual career development plan.
51,51,21,Head - Automation & Control,12,37.8,Active,Aligned with annual career development plan.
52,52,47,Specialist - Supply Chain & SCM,12,48.5,Active,Aligned with annual career development plan.
53,53,7,Engineering Manager,12,14.5,Active,Aligned with annual career development plan.
54,54,59,Engineer - AI & Digital Initiatives,12,33.3,Active,Aligned with annual career development plan.
55,55,14,Head - Electrical & Electronics,18,46.2,Active,Aligned with annual career development plan.
56,56,48,Manager - Supply Chain & SCM,24,29.7,Active,Aligned with annual career development plan.
57,57,28,Head - Blast Furnace Operations,24,39.6,Active,Aligned with annual career development plan.
58,58,32,Senior Engineer - Rolling Mill Operations,18,50.4,Active,Aligned with annual career development plan.
59,59,35,Head - Rolling Mill Operations,24,24.8,Active,Aligned with annual career development plan.
60,60,7,Engineering Manager,24,13.2,Active,Aligned with annual career development plan.
61,61,61,Specialist - AI & Digital Initiatives,18,64.6,Active,Aligned with annual career development plan.
62,62,7,Engineering Manager,12,43.4,Active,Aligned with annual career development plan.
63,63,40,Specialist - Quality Assurance & Metallurgy,12,44.5,Active,Aligned with annual career development plan.
64,64,27,Manager - Blast Furnace Operations,24,64.6,Active,Aligned with annual career development plan.
65,65,21,Head - Automation & Control,12,37.5,Active,Aligned with annual career development plan.
66,66,53,Senior Engineer - Information Technology,24,53.6,Active,Aligned with annual career development plan.
67,67,19,Specialist - Automation & Control,18,13.9,Active,Aligned with annual career development plan.
68,68,6,EAF Mechanical Specialist,24,41.4,Active,Aligned with annual career development plan.
69,69,35,Head - Rolling Mill Operations,24,44.2,Active,Aligned with annual career development plan.
70,70,71,HR Business Partner,24,11.4,Active,Aligned with annual career development plan.
71,71,41,Manager - Quality Assurance & Metallurgy,12,49.4,Active,Aligned with annual career development plan.
72,72,42,Head - Quality Assurance & Metallurgy,18,7.5,Active,Aligned with annual career development plan.
73,73,56,Head - Information Technology,18,42.4,Active,Aligned with annual career development plan.
74,74,28,Head - Blast Furnace Operations,18,33.3,Active,Aligned with annual career development plan.
75,75,61,Specialist - AI & Digital Initiatives,18,49.3,Active,Aligned with annual career development plan.
76,76,47,Specialist - Supply Chain & SCM,24,24.5,Active,Aligned with annual career development plan.
77,77,7,Engineering Manager,18,43.3,Active,Aligned with annual career development plan.
78,78,70,Head - Human Resources & L&D,18,46.5,Active,Aligned with annual career development plan.
79,79,6,EAF Mechanical Specialist,12,3.5,Active,Aligned with annual career development plan.
80,80,42,Head - Quality Assurance & Metallurgy,24,51.3,Active,Aligned with annual career development plan.
81,81,54,Specialist - Information Technology,24,49.0,Active,Aligned with annual career development plan.
82,82,5,Mechanical Specialist,12,63.7,Active,Aligned with annual career development plan.
83,83,13,Manager - Electrical & Electronics,12,67.5,Active,Aligned with annual career development plan.
84,84,63,Head - AI & Digital Initiatives,18,40.9,Active,Aligned with annual career development plan.
85,85,46,Senior Engineer - Supply Chain & SCM,18,11.1,Active,Aligned with annual career development plan.
86,86,30,Senior Technician - Rolling Mill Operations,18,13.9,Active,Aligned with annual career development plan.
87,87,42,Head - Quality Assurance & Metallurgy,18,65.1,Active,Aligned with annual career development plan.
88,88,35,Head - Rolling Mill Operations,12,8.0,Active,Aligned with annual career development plan.
89,89,60,Senior Engineer - AI & Digital Initiatives,12,54.0,Active,Aligned with annual career development plan.
90,90,34,Manager - Rolling Mill Operations,18,9.0,Active,Aligned with annual career development plan.
91,91,11,Senior Engineer - Electrical & Electronics,12,16.5,Active,Aligned with annual career development plan.
92,92,14,Head - Electrical & Electronics,18,61.9,Active,Aligned with annual career development plan.
93,93,68,Specialist - Human Resources & L&D,18,43.3,Active,Aligned with annual career development plan.
94,94,63,Head - AI & Digital Initiatives,12,36.2,Active,Aligned with annual career development plan.
95,95,63,Head - AI & Digital Initiatives,12,6.0,Active,Aligned with annual career development plan.
96,96,63,Head - AI & Digital Initiatives,12,26.0,Active,Aligned with annual career development plan.
97,97,28,Head - Blast Furnace Operations,12,1.3,Active,Aligned with annual career development plan.
98,98,49,Head - Supply Chain & SCM,12,27.9,Active,Aligned with annual career development plan.
99,99,32,Senior Engineer - Rolling Mill Operations,24,37.8,Active,Aligned with annual career development plan.
100,100,51,Senior Technician - Information Technology,18,63.4,Active,Aligned with annual career development plan.
101,101,66,Engineer - Human Resources & L&D,18,54.3,Active,Aligned with annual career development plan.
102,102,55,Manager - Information Technology,24,50.9,Active,Aligned with annual career development plan.
103,103,58,Senior Technician - AI & Digital Initiatives,12,57.0,Active,Aligned with annual career development plan.
104,104,55,Manager - Information Technology,18,14.1,Active,Aligned with annual career development plan.
105,105,11,Senior Engineer - Electrical & Electronics,12,32.2,Active,Aligned with annual career development plan.
106,106,7,Engineering Manager,18,33.2,Active,Aligned with annual career development plan.
107,107,58,Senior Technician - AI & Digital Initiatives,12,44.0,Active,Aligned with annual career development plan.
108,108,63,Head - AI & Digital Initiatives,24,34.5,Active,Aligned with annual career development plan.
109,109,5,Mechanical Specialist,18,16.6,Active,Aligned with annual career development plan.
110,110,35,Head - Rolling Mill Operations,12,0.2,Active,Aligned with annual career development plan.
111,111,62,Manager - AI & Digital Initiatives,18,56.7,Active,Aligned with annual career development plan.
112,112,42,Head - Quality Assurance & Metallurgy,12,62.2,Active,Aligned with annual career development plan.
113,113,35,Head - Rolling Mill Operations,24,37.1,Active,Aligned with annual career development plan.
114,114,27,Manager - Blast Furnace Operations,24,53.9,Active,Aligned with annual career development plan.
115,115,62,Manager - AI & Digital Initiatives,12,42.8,Active,Aligned with annual career development plan.
116,116,48,Manager - Supply Chain & SCM,24,32.6,Active,Aligned with annual career development plan.
117,117,1,Technician - Mechanical,18,47.0,Active,Aligned with annual career development plan.
118,118,65,Senior Technician - Human Resources & L&D,24,64.3,Active,Aligned with annual career development plan.
119,119,7,Engineering Manager,24,34.1,Active,Aligned with annual career development plan.
120,120,30,Senior Technician - Rolling Mill Operations,24,31.6,Active,Aligned with annual career development plan.
