id,name,category,subcategory,description,future_demand,criticality,is_active
1,Mechanical Systems,Technical,Maintenance,Expertise in mechanical systems.,Critical,Critical,True
2,EAF Operations,Technical,Ironmaking,Expertise in eaf operations.,Critical,Critical,True
3,Maintenance,Technical,Maintenance,Expertise in maintenance.,Critical,Critical,True
4,Predictive Maintenance,Technical,Maintenance,Expertise in predictive maintenance.,Medium,Medium,True
5,Root Cause Analysis,Technical,Problem Solving,Expertise in root cause analysis.,Medium,Critical,True
6,Equipment Reliability,Technical,Maintenance,Expertise in equipment reliability.,Critical,High,True
7,Hydraulics,Technical,Maintenance,Expertise in hydraulics.,Critical,High,True
8,Industrial Safety,Safety,Industrial Safety,Expertise in industrial safety.,Medium,Medium,True
9,Electrical Systems,Technical,Instrumentation,Expertise in electrical systems.,High,Medium,True
10,Condition Monitoring,Technical,Maintenance,Expertise in condition monitoring.,Critical,High,True
11,PLC Programming,Technical,Automation,Expertise in plc programming.,High,Critical,True
12,SCADA,Technical,Automation,Expertise in scada.,Critical,Medium,True
13,Python,Digital,Software,Expertise in python.,Critical,High,True
14,Machine Learning,Digital,Data Science,Expertise in machine learning.,High,Medium,True
15,Data Analysis,Digital,Data Science,Expertise in data analysis.,Critical,High,True
16,SAP ERP,Digital,Software,Expertise in sap erp.,Critical,Critical,True
17,LOTO,Safety,Industrial Safety,Expertise in loto.,Critical,High,True
18,Confined Space,Safety,Industrial Safety,Expertise in confined space.,High,Critical,True
19,Safety skill - Industrial Safety 19,Safety,Industrial Safety,Description of Safety skill - Industrial Safety 19.,Medium,Medium,True
20,Behavioral skill - Problem Solving 20,Behavioral,Problem Solving,Description of Behavioral skill - Problem Solving 20.,Low,High,True
21,Technical skill - Instrumentation 21,Technical,Instrumentation,Description of Technical skill - Instrumentation 21.,Medium,High,True
22,Leadership skill - Strategic Planning 22,Leadership,Strategic Planning,Description of Leadership skill - Strategic Planning 22.,Low,High,True
23,Leadership skill - Team Operations 23,Leadership,Team Operations,Description of Leadership skill - Team Operations 23.,Low,Critical,True
24,Behavioral skill - Problem Solving 24,Behavioral,Problem Solving,Description of Behavioral skill - Problem Solving 24.,Low,Low,True
25,Behavioral skill - Communication 25,Behavioral,Communication,Description of Behavioral skill - Communication 25.,High,Medium,True
26,Leadership skill - Team Operations 26,Leadership,Team Operations,Description of Leadership skill - Team Operations 26.,Low,Medium,True
27,Safety skill - Industrial Safety 27,Safety,Industrial Safety,Description of Safety skill - Industrial Safety 27.,Medium,High,True
28,Digital skill - Advanced Technologies 28,Digital,Advanced Technologies,Description of Digital skill - Advanced Technologies 28.,Low,Critical,True
29,Leadership skill - Project Management 29,Leadership,Project Management,Description of Leadership skill - Project Management 29.,Medium,Low,True
30,Leadership skill - Team Operations 30,Leadership,Team Operations,Description of Leadership skill - Team Operations 30.,High,High,True
31,Digital skill - Data Science 31,Digital,Data Science,Description of Digital skill - Data Science 31.,Medium,High,True
32,Leadership skill - Strategic Planning 32,Leadership,Strategic Planning,Description of Leadership skill - Strategic Planning 32.,High,Critical,True
33,Safety skill - Compliance 33,Safety,Compliance,Description of Safety skill - Compliance 33.,Low,Medium,True
34,Safety skill - Compliance 34,Safety,Compliance,Description of Safety skill - Compliance 34.,Low,Critical,True
35,Digital skill - Software 35,Digital,Software,Description of Digital skill - Software 35.,High,High,True
36,Digital skill - IIoT 36,Digital,IIoT,Description of Digital skill - IIoT 36.,High,Low,True
37,Behavioral skill - Collaboration 37,Behavioral,Collaboration,Description of Behavioral skill - Collaboration 37.,High,High,True
38,Digital skill - Data Science 38,Digital,Data Science,Description of Digital skill - Data Science 38.,High,Medium,True
39,Safety skill - Compliance 39,Safety,Compliance,Description of Safety skill - Compliance 39.,High,High,True
40,Leadership skill - Team Operations 40,Leadership,Team Operations,Description of Leadership skill - Team Operations 40.,High,High,True
41,Behavioral skill - Problem Solving 41,Behavioral,Problem Solving,Description of Behavioral skill - Problem Solving 41.,Medium,Medium,True
42,Leadership skill - Strategic Planning 42,Leadership,Strategic Planning,Description of Leadership skill - Strategic Planning 42.,Low,High,True
43,Behavioral skill - Collaboration 43,Behavioral,Collaboration,Description of Behavioral skill - Collaboration 43.,Medium,Medium,True
44,Technical skill - Maintenance 44,Technical,Maintenance,Description of Technical skill - Maintenance 44.,High,Medium,True
45,Technical skill - Design 45,Technical,Design,Description of Technical skill - Design 45.,High,Low,True
46,Technical skill - Design 46,Technical,Design,Description of Technical skill - Design 46.,High,Medium,True
47,Behavioral skill - Problem Solving 47,Behavioral,Problem Solving,Description of Behavioral skill - Problem Solving 47.,High,Low,True
48,Technical skill - Instrumentation 48,Technical,Instrumentation,Description of Technical skill - Instrumentation 48.,Low,High,True
49,Technical skill - Instrumentation 49,Technical,Instrumentation,Description of Technical skill - Instrumentation 49.,Low,High,True
50,Leadership skill - Project Management 50,Leadership,Project Management,Description of Leadership skill - Project Management 50.,Medium,Low,True
51,Technical skill - Ironmaking 51,Technical,Ironmaking,Description of Technical skill - Ironmaking 51.,Medium,Critical,True
52,Safety skill - Industrial Safety 52,Safety,Industrial Safety,Description of Safety skill - Industrial Safety 52.,Medium,Medium,True
53,Technical skill - Instrumentation 53,Technical,Instrumentation,Description of Technical skill - Instrumentation 53.,Low,High,True
54,Technical skill - Metallurgy 54,Technical,Metallurgy,Description of Technical skill - Metallurgy 54.,Medium,Medium,True
55,Technical skill - Instrumentation 55,Technical,Instrumentation,Description of Technical skill - Instrumentation 55.,High,Low,True
56,Safety skill - Hazard Management 56,Safety,Hazard Management,Description of Safety skill - Hazard Management 56.,High,Low,True
57,Safety skill - Industrial Safety 57,Safety,Industrial Safety,Description of Safety skill - Industrial Safety 57.,High,High,True
58,Technical skill - Automation 58,Technical,Automation,Description of Technical skill - Automation 58.,High,Medium,True
59,Leadership skill - Project Management 59,Leadership,Project Management,Description of Leadership skill - Project Management 59.,High,Medium,True
60,Leadership skill - Project Management 60,Leadership,Project Management,Description of Leadership skill - Project Management 60.,Medium,Critical,True
