id,employee_id,course_id,status,score,completion_date,expiry_date,hours_completed,certificate_issued,notes
1,1,6,Completed,85.0,2026-04-12T05:04:38.143726,2027-04-12T05:04:38.143726,16.0,True,
2,1,9,Completed,90.0,2026-05-12T05:04:38.143782,2027-05-12T05:04:38.143782,4.0,True,
3,1,5,Expired,78.0,2025-07-26T05:04:38.143805,2026-07-26T05:04:38.143805,8.0,False,
4,2,1,Completed,89.1,2025-10-13T05:04:38.143914,2026-10-13T05:04:38.143914,16,True,
5,2,57,In Progress,,,,2.6,False,
6,2,8,In Progress,,,,5.2,False,
7,2,76,Not Started,,,,0.0,False,
8,2,84,Completed,80.6,2026-01-31T05:04:38.143980,2027-01-31T05:04:38.143980,4,True,
9,3,83,Completed,88.5,2025-06-26T05:04:38.144027,2026-06-26T05:04:38.144027,8,True,
10,3,7,In Progress,,,,25.6,False,
11,3,4,In Progress,,,,19.0,False,
12,3,80,Not Started,,,,0.0,False,
13,3,13,Completed,79.8,2025-08-13T05:04:38.144062,2026-08-13T05:04:38.144062,40,True,
14,3,77,In Progress,,,,16.3,False,
15,4,34,Not Started,,,,0.0,False,
16,4,31,In Progress,,,,15.0,False,
17,4,100,Not Started,,,,0.0,False,
18,4,12,Completed,77.3,2025-07-21T05:04:38.144108,2026-07-21T05:04:38.144108,32,True,
19,4,13,Not Started,,,,0.0,False,
20,4,97,Completed,95.6,2026-03-14T05:04:38.144133,2027-03-14T05:04:38.144133,8,True,
21,4,92,Expired,70.7,2025-11-22T05:04:38.144154,2025-11-12T05:04:38.144154,0.0,False,
22,4,29,Completed,74.6,2026-05-02T05:04:38.144176,2027-05-02T05:04:38.144176,8,True,
23,5,20,Completed,95.2,2025-05-06T05:04:38.144207,2026-05-06T05:04:38.144207,8,True,
24,5,14,Not Started,,,,0.0,False,
25,5,62,Expired,82.3,2026-06-23T05:04:38.144231,2026-06-13T05:04:38.144231,0.0,False,
26,5,33,Not Started,,,,0.0,False,
27,5,25,Not Started,,,,0.0,False,
28,5,92,Expired,87.9,2026-01-22T05:04:38.144258,2026-01-12T05:04:38.144258,0.0,False,
29,5,52,Not Started,,,,0.0,False,
30,5,4,Completed,90.8,2026-05-07T05:04:38.144281,2027-05-07T05:04:38.144281,40,True,
31,6,41,Not Started,,,,0.0,False,
32,6,14,Completed,81.3,2026-05-30T05:04:38.144312,2027-05-30T05:04:38.144312,40,True,
33,6,65,In Progress,,,,29.9,False,
34,6,42,Not Started,,,,0.0,False,
35,6,64,Completed,76.5,2026-06-28T05:04:38.144339,2027-06-28T05:04:38.144339,8,True,
36,7,94,In Progress,,,,2.0,False,
37,7,63,Completed,99.5,2026-01-29T05:04:38.144398,2027-01-29T05:04:38.144398,16,True,
38,7,85,Completed,70.8,2025-12-26T05:04:38.144423,2026-12-26T05:04:38.144423,40,True,
39,7,86,Completed,86.6,2025-12-14T05:04:38.144443,2026-12-14T05:04:38.144443,8,True,
40,8,44,Not Started,,,,0.0,False,
41,8,99,In Progress,,,,21.7,False,
42,8,76,In Progress,,,,11.8,False,
43,8,52,Expired,95.5,2025-05-28T05:04:38.144485,2025-05-18T05:04:38.144485,0.0,False,
44,8,91,Expired,70.4,2025-07-28T05:04:38.144506,2025-07-18T05:04:38.144506,0.0,False,
45,8,9,Not Started,,,,0.0,False,
46,8,24,Completed,88.8,2026-01-14T05:04:38.144530,2027-01-14T05:04:38.144530,40,True,
47,9,17,Expired,83.9,2025-05-08T05:04:38.144560,2025-04-28T05:04:38.144560,0.0,False,
48,9,16,Completed,68.5,2026-06-11T05:04:38.144582,2027-06-11T05:04:38.144582,16,True,
49,9,49,In Progress,,,,8.8,False,
50,9,62,Completed,89.9,2025-05-21T05:04:38.144606,2026-05-21T05:04:38.144606,40,True,
51,9,26,Not Started,,,,0.0,False,
52,9,31,Not Started,,,,0.0,False,
53,9,60,Expired,99.7,2025-12-28T05:04:38.144632,2025-12-18T05:04:38.144632,0.0,False,
54,9,12,Not Started,,,,0.0,False,
55,10,38,In Progress,,,,21.0,False,
56,10,4,In Progress,,,,27.6,False,
57,10,11,Expired,78.3,2026-03-02T05:04:38.144672,2026-02-20T05:04:38.144672,0.0,False,
58,10,40,In Progress,,,,3.5,False,
59,10,71,Expired,92.7,2026-05-25T05:04:38.144697,2026-05-15T05:04:38.144697,0.0,False,
60,10,70,Completed,66.2,2026-01-29T05:04:38.144718,2027-01-29T05:04:38.144718,16,True,
61,10,79,Completed,81.0,2025-12-02T05:04:38.144738,2026-12-02T05:04:38.144738,40,True,
62,10,3,In Progress,,,,26.3,False,
63,11,39,Not Started,,,,0.0,False,
64,11,29,Completed,83.5,2025-10-31T05:04:38.144775,2026-10-31T05:04:38.144775,8,True,
65,11,35,In Progress,,,,5.6,False,
66,11,62,Expired,82.1,2026-04-30T05:04:38.144891,2026-04-20T05:04:38.144891,0.0,False,
67,11,41,Expired,70.6,2026-03-24T05:04:38.144943,2026-03-14T05:04:38.144943,0.0,False,
68,11,90,Expired,81.5,2026-02-24T05:04:38.144971,2026-02-14T05:04:38.144971,0.0,False,
69,11,13,In Progress,,,,3.9,False,
