id,title,department_id,grade,track,min_experience_years,description,preferred_certifications,is_active
1,Technician - Mechanical,1,2,Technical,0,Performs basic maintenance and repairs of mechanical systems.,ITI Mechanical,True
2,Senior Technician - Mechanical,1,3,Technical,3,"Performs complex mechanical maintenance, diagnostics, and repairs.","ITI Mechanical, Safety Certification",True
3,Mechanical Engineer,1,5,Technical,2,"Coordinates maintenance schedules, plans shutdowns, and executes reliability projects.",B.Tech Mechanical Engineering,True
4,Senior Mechanical Engineer,1,6,Technical,6,"Designs complex mechanical system modifications, manages engineering projects.","B.Tech Mechanical Engineering, Project Management",True
5,Mechanical Specialist,1,7,Technical,10,"Domain expert in mechanical systems, vibration analysis, and failure diagnostics.","M.Tech Mechanical Engineering, Vibration Analyst Level II",True
6,EAF Mechanical Specialist,1,7,Technical,8,"Domain expert in Electric Arc Furnace (EAF) mechanical operations, electrode columns, and hydraulics.","B.Tech Mechanical, EAF Safety and Design",True
7,Engineering Manager,1,8,Leadership,8,"Manages mechanical maintenance teams, shutdown budgets, and asset reliability.",B.Tech Mechanical + MBA,True
8,Technician - Electrical & Electronics,2,2,Technical,0,Responsible for technician tasks in Electrical & Electronics.,Degree/Diploma in relevant field,True
9,Senior Technician - Electrical & Electronics,2,3,Technical,2,Responsible for senior technician tasks in Electrical & Electronics.,Degree/Diploma in relevant field,True
10,Engineer - Electrical & Electronics,2,4,Technical,4,Responsible for engineer tasks in Electrical & Electronics.,Degree/Diploma in relevant field,True
11,Senior Engineer - Electrical & Electronics,2,5,Technical,6,Responsible for senior engineer tasks in Electrical & Electronics.,Degree/Diploma in relevant field,True
12,Specialist - Electrical & Electronics,2,6,Technical,8,Responsible for specialist tasks in Electrical & Electronics.,Degree/Diploma in relevant field,True
13,Manager - Electrical & Electronics,2,7,Leadership,10,Responsible for manager tasks in Electrical & Electronics.,Degree/Diploma in relevant field,True
14,Head - Electrical & Electronics,2,8,Leadership,12,Responsible for head tasks in Electrical & Electronics.,Degree/Diploma in relevant field,True
15,Technician - Automation & Control,3,2,Technical,0,Responsible for technician tasks in Automation & Control.,Degree/Diploma in relevant field,True
16,Senior Technician - Automation & Control,3,3,Technical,2,Responsible for senior technician tasks in Automation & Control.,Degree/Diploma in relevant field,True
17,Engineer - Automation & Control,3,4,Technical,4,Responsible for engineer tasks in Automation & Control.,Degree/Diploma in relevant field,True
18,Senior Engineer - Automation & Control,3,5,Technical,6,Responsible for senior engineer tasks in Automation & Control.,Degree/Diploma in relevant field,True
19,Specialist - Automation & Control,3,6,Technical,8,Responsible for specialist tasks in Automation & Control.,Degree/Diploma in relevant field,True
20,Manager - Automation & Control,3,7,Leadership,10,Responsible for manager tasks in Automation & Control.,Degree/Diploma in relevant field,True
21,Head - Automation & Control,3,8,Leadership,12,Responsible for head tasks in Automation & Control.,Degree/Diploma in relevant field,True
22,Technician - Blast Furnace Operations,4,2,Technical,0,Responsible for technician tasks in Blast Furnace Operations.,Degree/Diploma in relevant field,True
23,Senior Technician - Blast Furnace Operations,4,3,Technical,2,Responsible for senior technician tasks in Blast Furnace Operations.,Degree/Diploma in relevant field,True
24,Engineer - Blast Furnace Operations,4,4,Technical,4,Responsible for engineer tasks in Blast Furnace Operations.,Degree/Diploma in relevant field,True
25,Senior Engineer - Blast Furnace Operations,4,5,Technical,6,Responsible for senior engineer tasks in Blast Furnace Operations.,Degree/Diploma in relevant field,True
26,Specialist - Blast Furnace Operations,4,6,Technical,8,Responsible for specialist tasks in Blast Furnace Operations.,Degree/Diploma in relevant field,True
27,Manager - Blast Furnace Operations,4,7,Leadership,10,Responsible for manager tasks in Blast Furnace Operations.,Degree/Diploma in relevant field,True
28,Head - Blast Furnace Operations,4,8,Leadership,12,Responsible for head tasks in Blast Furnace Operations.,Degree/Diploma in relevant field,True
29,Technician - Rolling Mill Operations,5,2,Technical,0,Responsible for technician tasks in Rolling Mill Operations.,Degree/Diploma in relevant field,True
30,Senior Technician - Rolling Mill Operations,5,3,Technical,2,Responsible for senior technician tasks in Rolling Mill Operations.,Degree/Diploma in relevant field,True
