id,code,name,description,category,subcategory,duration_hours,difficulty,mode,provider,skills_covered,prerequisites,target_grades,is_mandatory,pass_score,is_active
1,CRS1001,Predictive Maintenance Fundamentals,Comprehensive course on Predictive Maintenance Fundamentals.,Technical,Maintenance,16,Beginner,Blended,Tata Steel Digie-Shala,Predictive Maintenance,,"3,4,5,6,7,8",False,75,True
2,CRS1002,Condition Monitoring,Comprehensive course on Condition Monitoring.,Technical,Maintenance,24,Intermediate,Online,Tata Steel Digie-Shala,Condition Monitoring,,"3,4,5,6,7,8",False,75,True
3,CRS1003,Advanced Predictive Maintenance,Comprehensive course on Advanced Predictive Maintenance.,Technical,Maintenance,40,Advanced,Online,Internal Academy,Predictive Maintenance,,"3,4,5,6,7,8",False,75,True
4,CRS1004,EAF Design & Process Optimization,Comprehensive course on EAF Design & Process Optimization.,Technical,Ironmaking,40,Intermediate,Online,OEM,EAF Operations,,"3,4,5,6,7,8",True,75,True
5,CRS1005,EAF Operations Safety,Comprehensive course on EAF Operations Safety.,Safety,Industrial Safety,8,Advanced,Online,Tata Steel Digie-Shala,"EAF Operations,Industrial Safety",,"3,4,5,6,7,8",True,75,True
6,CRS1006,Mechanical Systems Maintenance,Comprehensive course on Mechanical Systems Maintenance.,Technical,Maintenance,16,Beginner,Online,OEM,"Mechanical Systems,Maintenance",,"3,4,5,6,7,8",False,75,True
7,CRS1007,Industrial Hydraulics & Pneumatics,Comprehensive course on Industrial Hydraulics & Pneumatics.,Technical,Maintenance,32,Advanced,Online,OEM,Hydraulics,,"3,4,5,6,7,8",False,75,True
8,CRS1008,Industrial Safety Standards,Comprehensive course on Industrial Safety Standards.,Safety,Industrial Safety,8,Advanced,Classroom,Tata Steel Digie-Shala,Industrial Safety,,"3,4,5,6,7,8",True,75,True
9,CRS1009,Lock-Out Tag-Out (LOTO) Procedures,Comprehensive course on Lock-Out Tag-Out (LOTO) Procedures.,Safety,Industrial Safety,4,Advanced,Online,Tata Steel Digie-Shala,"LOTO,Industrial Safety",,"3,4,5,6,7,8",False,75,True
10,CRS1010,Root Cause Analysis (RCA) Methodology,Comprehensive course on Root Cause Analysis (RCA) Methodology.,Behavioral,Problem Solving,16,Intermediate,Blended,Tata Steel Digie-Shala,Root Cause Analysis,,"3,4,5,6,7,8",False,75,True
11,CRS1011,PLC Programming for Automation,Comprehensive course on PLC Programming for Automation.,Technical,Automation,40,Intermediate,Blended,Tata Steel Digie-Shala,PLC Programming,,"3,4,5,6,7,8",False,75,True
12,CRS1012,Python for Data Analytics,Comprehensive course on Python for Data Analytics.,Digital,Software,32,Beginner,Blended,Internal Academy,"Python,Data Analysis",,"3,4,5,6,7,8",False,75,True
13,CRS1013,Introduction to Machine Learning,Comprehensive course on Introduction to Machine Learning.,Digital,Data Science,40,Intermediate,Online,Internal Academy,Machine Learning,,"3,4,5,6,7,8",False,75,True
14,CRS1014,General Course on Safety - Industrial Safety 14,Details for General Course on Safety - Industrial Safety 14.,Safety,Industrial Safety,40,Beginner,Classroom,Internal Training Academy,"Safety skill - Industrial Safety 74,Safety skill - Compliance 34",,"1,2,3,4,5,6,7,8",False,70,True
15,CRS1015,General Course on Behavioral - Problem Solving 15,Details for General Course on Behavioral - Problem Solving 15.,Behavioral,Problem Solving,40,Beginner,Online,Internal Training Academy,"Behavioral skill - Problem Solving 24,Behavioral skill - Communication 149",,"1,2,3,4,5,6,7,8",False,70,True
16,CRS1016,General Course on Digital - Data Science 16,Details for General Course on Digital - Data Science 16.,Digital,Data Science,16,Beginner,Classroom,Internal Training Academy,"Digital skill - IIoT 118,Digital skill - Advanced Technologies 151",,"1,2,3,4,5,6,7,8",False,70,True
17,CRS1017,General Course on Behavioral - Communication 17,Details for General Course on Behavioral - Communication 17.,Behavioral,Communication,40,Advanced,Online,Internal Training Academy,"Behavioral skill - Problem Solving 20,Behavioral skill - Problem Solving 61",,"1,2,3,4,5,6,7,8",False,70,True
18,CRS1018,General Course on Digital - IIoT 18,Details for General Course on Digital - IIoT 18.,Digital,IIoT,24,Beginner,Blended,Internal Training Academy,"Digital skill - Software 132,Python",,"1,2,3,4,5,6,7,8",False,70,True
19,CRS1019,General Course on Behavioral - Collaboration 19,Details for General Course on Behavioral - Collaboration 19.,Behavioral,Collaboration,8,Advanced,Blended,Internal Training Academy,"Behavioral skill - Problem Solving 179,Behavioral skill - Collaboration 43",,"1,2,3,4,5,6,7,8",False,70,True
20,CRS1020,General Course on Leadership - Team Operations 20,Details for General Course on Leadership - Team Operations 20.,Leadership,Team Operations,8,Beginner,Online,Internal Training Academy,"Leadership skill - Strategic Planning 91,Leadership skill - Project Management 65",,"1,2,3,4,5,6,7,8",False,70,True
21,CRS1021,General Course on Safety - Industrial Safety 21,Details for General Course on Safety - Industrial Safety 21.,Safety,Industrial Safety,4,Advanced,Blended,Internal Training Academy,"Safety skill - Industrial Safety 74,Safety skill - Industrial Safety 90",,"1,2,3,4,5,6,7,8",False,70,True
22,CRS1022,General Course on Behavioral - Communication 22,Details for General Course on Behavioral - Communication 22.,Behavioral,Communication,8,Advanced,Blended,Internal Training Academy,"Behavioral skill - Collaboration 155,Behavioral skill - Communication 25",,"1,2,3,4,5,6,7,8",False,70,True
23,CRS1023,General Course on Behavioral - Problem Solving 23,Details for General Course on Behavioral - Problem Solving 23.,Behavioral,Problem Solving,24,Beginner,Online,Internal Training Academy,"Behavioral skill - Problem Solving 88,Behavioral skill - Problem Solving 69",,"1,2,3,4,5,6,7,8",False,70,True
24,CRS1024,General Course on Leadership - Strategic Planning 24,Details for General Course on Leadership - Strategic Planning 24.,Leadership,Strategic Planning,40,Intermediate,Online,Internal Training Academy,"Leadership skill - Project Management 136,Leadership skill - Strategic Planning 64",,"1,2,3,4,5,6,7,8",False,70,True
25,CRS1025,General Course on Digital - Data Science 25,Details for General Course on Digital - Data Science 25.,Digital,Data Science,4,Beginner,Blended,Internal Training Academy,"Digital skill - Data Science 77,Digital skill - IIoT 63",,"1,2,3,4,5,6,7,8",False,70,True
26,CRS1026,General Course on Leadership - Team Operations 26,Details for General Course on Leadership - Team Operations 26.,Leadership,Team Operations,4,Beginner,Blended,Internal Training Academy,"Leadership skill - Project Management 50,Leadership skill - Strategic Planning 32",,"1,2,3,4,5,6,7,8",False,70,True
27,CRS1027,General Course on Safety - Compliance 27,Details for General Course on Safety - Compliance 27.,Safety,Compliance,8,Intermediate,Blended,Internal Training Academy,"Safety skill - Compliance 177,Safety skill - Industrial Safety 52",,"1,2,3,4,5,6,7,8",False,70,True
28,CRS1028,General Course on Digital - Software 28,Details for General Course on Digital - Software 28.,Digital,Software,4,Intermediate,Blended,Internal Training Academy,"Digital skill - Data Science 38,Python",,"1,2,3,4,5,6,7,8",False,70,True
29,CRS1029,General Course on Technical - Design 29,Details for General Course on Technical - Design 29.,Technical,Design,8,Advanced,Online,Internal Training Academy,"Technical skill - Automation 123,Technical skill - Maintenance 162",,"1,2,3,4,5,6,7,8",False,70,True
30,CRS1030,General Course on Digital - Data Science 30,Details for General Course on Digital - Data Science 30.,Digital,Data Science,4,Beginner,Online,Internal Training Academy,"Digital skill - Data Science 31,Digital skill - IIoT 72",,"1,2,3,4,5,6,7,8",False,70,True
31,CRS1031,General Course on Leadership - Project Management 31,Details for General Course on Leadership - Project Management 31.,Leadership,Project Management,16,Intermediate,Online,Internal Training Academy,"Leadership skill - Team Operations 188,Leadership skill - Team Operations 26",,"1,2,3,4,5,6,7,8",False,70,True
32,CRS1032,General Course on Digital - IIoT 32,Details for General Course on Digital - IIoT 32.,Digital,IIoT,40,Intermediate,Online,Internal Training Academy,"Digital skill - Data Science 122,Digital skill - IIoT 72",,"1,2,3,4,5,6,7,8",False,70,True
33,CRS1033,General Course on Digital - IIoT 33,Details for General Course on Digital - IIoT 33.,Digital,IIoT,16,Advanced,Online,Internal Training Academy,"Digital skill - Data Science 31,Digital skill - Advanced Technologies 142",,"1,2,3,4,5,6,7,8",False,70,True
34,CRS1034,General Course on Behavioral - Collaboration 34,Details for General Course on Behavioral - Collaboration 34.,Behavioral,Collaboration,24,Beginner,Blended,Internal Training Academy,"Behavioral skill - Problem Solving 78,Behavioral skill - Collaboration 104",,"1,2,3,4,5,6,7,8",False,70,True
35,CRS1035,General Course on Safety - Compliance 35,Details for General Course on Safety - Compliance 35.,Safety,Compliance,16,Intermediate,Classroom,Internal Training Academy,"Safety skill - Compliance 143,Safety skill - Compliance 139",,"1,2,3,4,5,6,7,8",False,70,True
36,CRS1036,General Course on Leadership - Team Operations 36,Details for General Course on Leadership - Team Operations 36.,Leadership,Team Operations,8,Advanced,Blended,Internal Training Academy,"Leadership skill - Strategic Planning 161,Leadership skill - Team Operations 137",,"1,2,3,4,5,6,7,8",False,70,True
37,CRS1037,General Course on Technical - Instrumentation 37,Details for General Course on Technical - Instrumentation 37.,Technical,Instrumentation,16,Intermediate,Online,Internal Training Academy,"Technical skill - Instrumentation 21,Technical skill - Design 46",,"1,2,3,4,5,6,7,8",False,70,True
38,CRS1038,General Course on Safety - Industrial Safety 38,Details for General Course on Safety - Industrial Safety 38.,Safety,Industrial Safety,24,Advanced,Classroom,Internal Training Academy,"Safety skill - Hazard Management 157,Safety skill - Industrial Safety 138",,"1,2,3,4,5,6,7,8",False,70,True
